Data;IPCA;IPCA-E;INPC;IGPM;INCC;TR;ENCOGE;SELIC
01/11/1991;0,013022821;0,008072252;0,013942046;0,02056063;0,025608865;0,005319553;0,0141462;5,6124
01/12/1991;0,010400784;0,008072252;0,011023123;0,016367322;0,019779767;0,004075661;0,0111846;5,6124
01/01/1992;0,008407391;0,008072252;0,008878875;0,013238957;0,01652307;0,003173697;0,0090089;5,6124
01/02/1992;0,006675712;0,006426952;0,007051203;0,010714598;0,012722777;0,002529245;0,0071545;5,6124
01/03/1992;0,005369781;0,005096711;0,005664527;0,008379945;0,010291011;0,00201357;0,0057475;5,6124
01/04/1992;0,004423213;0,004176605;0,004657562;0,006903324;0,008054325;0,001620318;0,0047258;5,6124
01/05/1992;0,003688162;0,003485442;0,003854321;0,005755648;0,006859415;0,001338221;0,0039108;5,6124
01/06/1992;0,002953838;0,002823363;0,00309584;0,004779248;0,005349723;0,001116953;0,0031412;5,6124
01/07/1992;0,002457232;0,002290389;0,002561722;0,003866392;0,004532511;0,00092272;0,0025992;5,6124
01/08/1992;0,002016935;0,001892727;0,002098396;0,003173336;0,003669158;0,000745994;0,0021291;5,6124
01/09/1992;0,00165133;0,001537053;0,001714656;0,002546205;0,003128546;0,000605417;0,0017398;5,6124
01/10/1992;0,001324986;0,001246293;0,00138301;0,002032574;0,00232952;0,000482865;0,0014033;5,6124
01/11/1992;0,001057958;0,000993221;0,001097018;0,001603482;0,001959062;0,000386076;0,0011131;5,6124
01/12/1992;0,000863709;0,000802927;0,000892683;0,001299102;0,001516771;0,000313145;0,0009058;5,6124
01/01/1993;0,000689643;0,000650196;0,000710848;0,001038617;0,001276314;0,000252638;0,0007213;5,6124
01/02/1993;0,000529071;0,000502198;0,000552029;0,000825413;0,000932296;0,000199304;0,0005601;5,6124
01/03/1993;0,000423324;0,000396305;0,000442366;0,000642795;0,000760437;0,000157677;0,0004488;5,6124
01/04/1993;0,000332645;0,000314628;0,000346736;0,000509145;0,000573439;0,00012533;0,0003518;5,6124
01/05/1993;0,000260388;0,000247077;0,000270107;0,000395207;0,000472822;9,77E-05;0,0002741;5,6124
01/06/1993;0,000203922;0,000192113;0,000213052;0,000304708;0,000336289;7,60E-05;0,0002162;5,6124
01/07/1993;0,000156778;0,000150547;0,000163421;0,000231717;0,000264524;5,84E-05;0,0001658;5,6124
01/08/1993;0,119934509;0,115211824;0,124739231;0,176546473;0,197804345;0,044791852;0,126566;5,6124
01/09/1993;0,090203452;0,087288297;0,093549746;0,133960447;0,154029236;0,033592209;0,0949198;5,6124
01/10/1993;0,066477597;0,064956316;0,068974228;0,099024577;0,109950201;0,024953357;0,0699843;5,6124
01/11/1993;0,049639783;0,048055276;0,051427251;0,073329811;0,082034023;0,018276831;0,0521804;5,6124
01/12/1993;0,036618311;0,035888929;0,037814155;0,053859575;0,059273138;0,013423054;0,0383679;5,6124
01/01/1994;0,026759947;0,026255709;0,027455278;0,038938385;0,04456962;0,009812174;0,0278574;5,6124
01/02/1994;0,018937051;0,018865926;0,019427737;0,027999127;0,03054178;0,00693734;0,0197123;5,6124
01/03/1994;0,013500429;0,0135046;0,013820685;0,019888568;0,021950396;0,004960203;0,0140231;5,6124
01/04/1994;0,009457393;0,009402353;0,009659411;0,013649419;0,014096972;0,003496795;0,0098009;5,6124
01/05/1994;0,006628394;0,006656533;0,006761452;0,009686622;0,009681986;0,002395557;0,0068605;5,6124
01/06/1994;0,004602093;0,004615861;0,004737233;0,006793815;0,006649716;0,001635863;0,0048066;5,6124
01/07/1994;8,584246965;8,77540118;8,78803993;12,86618844;12,63418471;3,062787327;8,9167388;5,6124
01/08/1994;8,034675183;8,340843247;8,155953531;12,33220401;12,19751372;2,916107138;8,4056738;5,5437
01/09/1994;7,887959143;7,943660235;8,007809064;11,86473351;12,18046108;2,855289473;7,9704853;5,502
01/10/1994;7,769092035;7,816255274;7,897247597;11,66067175;12,13435054;2,787279844;7,8519213;5,4637
01/11/1994;7,570738681;7,67051548;7,680653178;11,45224097;11,97626386;2,717706557;7,7085424;5,4275
01/12/1994;7,363815467;7,450719262;7,459841859;11,13489642;11,70014054;2,640601007;7,4644547;5,3868
01/01/1995;7,240011274;7,286767004;7,335144404;11,04214242;11,54771076;2,566930113;7,3044865;5,3488
01/02/1995;7,11898847;7,159330914;7,231017748;10,9414808;11,15720846;2,514133313;7,1845052;5,3151
01/03/1995;7,047107968;7,073039828;7,15871473;10,79147924;10,92879662;2,46846668;7,1140759;5,2826
01/04/1995;6,939545021;6,983649119;7,044592334;10,67195336;10,57966759;2,412968406;7,0151621;5,24
01/05/1995;6,774914596;6,850072701;6,873443588;10,45245187;10,34180605;2,332046396;6,8830083;5,1974
01/06/1995;6,598728544;6,665440013;6,732070116;10,39217724;9,507958119;2,258640578;6,7105473;5,1549
01/07/1995;6,452893158;6,518767739;6,588442079;10,14266762;9,22028522;2,195199317;6,5905984;5,1145
